0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
JADUAL WAKTU KOMUTER PULAU SEBANG KE BATU CAVES HARI BEKERJA MULAI 1 JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBOR TRIP,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
NOMBOR TREN,,2000,2002,2004,2006,2008,2010,2012,2014,2016,2020,2022,2026,2028,2030,2034,2038,2040,2044,2046,2050,2048,2052,2054,2058,2062,2066
PULAU SEBANG,25100,4:30,,5:30,5:50,6:05,,,,8:05,9:05,,,,10:55,,,14:05,16:00,,,,,18:20,19:40,,21:15
REMBAU,23900,4:47,,5:47,6:07,6:22,,,,8:22,9:22,,,,11:12,,,14:22,16:17,,,,,18:37,19:57,,21:32
SUNGAI GADUT,23100,5:00,5:30,6:00,6:20,6:35,,,,8:35,9:35,,,,11:25,,,14:35,16:30,,,,,18:50,20:10,,21:45
SENAWANG,22900,5:05,5:35,6:05,6:25,6:40,,,,8:40,9:40,,,,11:30,,,14:40,16:35,,,,,18:55,20:15,,21:50
SEREMBAN,22700,5:11,5:41,6:11,6:31,6:46,,,,8:46,9:46,,,,11:36,,,14:46,16:41,,,,,19:01,20:21,,21:56
TIROI,22400,5:19,5:49,6:19,6:39,6:54,,,,8:54,9:54,,,,11:44,,,14:54,16:49,,,,,19:09,20:29,,22:04
LABU,22000,5:25,5:55,6:25,6:45,7:00,,,,9:00,10:00,,,,12:00,,,15:00,16:55,,,,,19:15,20:35,,22:10
NILAI,21500,5:35,6:05,6:35,6:55,7:10,,,,9:10,10:10,,,,12:10,,,15:10,17:05,,,,,19:25,20:45,,22:20
BATANG BENAR,21300,5:41,6:11,6:41,7:01,7:16,,,,9:16,10:16,,,,12:16,,,15:16,17:11,,,,,19:36,20:51,,22:26
BANGI,20900,5:54,6:24,6:54,7:14,7:29,,,,9:29,10:29,,,,12:29,,,15:29,17:24,,,,,19:49,21:04,,22:39
UKM,20500,6:00,6:30,7:00,7:20,7:35,,,,9:35,10:35,,,,12:35,,,15:35,17:30,,,,,19:55,21:10,,22:45
KAJANG 2,20402,6:03,6:33,7:03,7:23,7:38,,,,9:38,10:38,,,,12:38,,,15:38,17:33,,,,,19:58,21:13,,22:48
KAJANG,20400,6:07,6:37,7:07,7:27,7:42,,8:45,,9:47,10:47,,,,13:51,,,16:11,17:36,,,,19:09,20:17,21:17,,23:02
SERDANG,19900,6:19,CROSSING,7:19,7:39,7:54,,8:57,,9:59,10:59,,,,14:08,,,16:23,,,,,19:21,20:29,21:34,,23:14
BANDAR TASEK SELATAN,19600,6:26,7:01,7:26,7:46,8:01,,9:04,,10:06,11:06,,,,14:15,,,16:30,,,,,19:28,20:36,21:41,,23:21
SALAK SELATAN,19400,6:32,7:07,7:32,7:52,8:07,,9:10,,10:12,11:12,12:11,12:56,,14:21,15:11,,16:36,,,,,19:34,20:42,21:47,22:22,23:27
SEPUTEH,19300,6:37,7:12,7:37,7:57,8:12,,9:15,,10:17,11:17,12:16,13:01,,14:26,15:16,,16:41,,,,,19:39,20:47,21:52,22:27,23:32
MIDVALLEY,19205,6:40,7:15,7:40,8:00,8:15,,9:18,,10:20,11:20,12:19,13:04,,14:29,15:19,,16:44,,,,,19:42,20:50,21:55,22:30,23:35
KL SENTRAL,19100,6:47,7:27,7:52,8:12,8:27,8:46,9:25,9:51,10:27,11:27,12:26,13:11,13:56,14:36,15:26,16:21,16:56,,17:41,18:11,19:01,19:49,21:02,22:04,22:37,23:42
KUALA LUMPUR,19000,6:51,7:31,7:56,8:16,8:31,8:50,9:29,9:55,10:31,11:31,12:30,13:15,14:00,14:40,15:30,16:25,17:00,,17:45,18:15,19:05,19:53,21:06,22:08,22:41,23:46
BANK NEGARA,18900,6:55,7:35,8:00,8:20,8:35,8:54,9:33,9:59,10:35,11:35,12:34,13:19,14:04,14:44,15:34,16:29,17:04,,17:49,18:19,19:09,19:57,21:10,22:12,22:45,23:50
PUTRA,18800,6:58,7:38,8:03,8:23,8:38,8:57,9:36,10:02,10:38,11:38,12:37,13:22,14:07,14:47,15:37,16:32,17:07,,17:52,18:22,19:12,20:00,21:13,22:15,22:48,23:53
SENTUL,50000,7:04,7:44,8:09,8:29,8:44,9:03,9:42,10:08,10:44,11:44,12:43,13:28,14:13,14:53,15:43,16:38,17:13,,17:58,18:28,19:18,20:06,21:19,22:21,22:54,23:59
BATU KENTONMEN,50300,7:08,7:48,8:13,8:33,8:48,9:07,9:46,10:12,10:48,11:48,12:47,13:32,14:17,14:57,15:47,16:42,17:17,,18:02,18:32,19:22,20:10,21:23,22:25,22:58,0:03
KAMPUNG BATU,50400,7:10,7:50,8:15,8:35,8:50,9:09,9:48,10:14,10:50,11:50,12:49,13:34,14:19,14:59,15:49,16:44,17:19,,18:04,18:34,19:24,20:12,21:25,22:27,23:00,0:05
TAMAN WAHYU,50500,7:12,7:52,8:17,8:37,8:52,9:11,9:50,10:16,10:52,11:52,12:51,13:36,14:21,15:01,15:51,16:46,17:21,,18:06,18:36,19:26,20:14,21:27,22:29,23:02,0:07
BATU CAVES,50600,7:16,7:56,8:21,8:41,8:56,9:15,9:54,10:20,10:56,11:56,12:55,13:40,14:25,15:05,15:55,16:50,17:25,,18:10,18:40,19:30,20:18,21:31,22:33,23:06,0:11
